tahun,bulan,revenue,expense,profit_rugi
2024,1,27229000,74451000,-47222000
2024,2,20019020,5540002,14479018
2024,3,63027525,99708897,-36681372
2024,4,31548260,36074974,-4526714
2024,5,30001350,52703978,-22702628
2024,6,49511756,29698863,19812893
2024,7,68789226,68306820,482406
2024,8,19973793,28357859,-8384066
2024,9,32329573,17394757,14934816
2024,10,57773220,78191879,-20418659
2024,11,48481106,28490928,19990178
2024,12,22716230,32926232,-10210002
2025,1,57589472,106713795,-49124323
2025,2,11669192,58399955,-46730763
2025,3,49976118,56964418,-6988300
2025,4,58864378,79519959,-20655581
2025,5,29038900,71000075,-41961175
2025,6,35462432,68240133,-32777701
2025,7,38614765,17139173,21475592
2025,8,33117732,102529605,-69411873
2025,9,21350837,95009949,-73659112
2025,10,82483336,30072845,52410491
2025,11,87633740,41837362,45796378
2025,12,31342950,59130000,-27787050
