cluster_a,cluster_b,weight
23,32,902.3030303030301
23,34,100.0
16,23,118.0
1,23,216.0
7,23,100.0
20,23,96.0
12,23,94.0
19,23,132.0
23,35,162.0
10,23,202.0
11,23,114.0
21,23,100.0
23,30,168.0
0,23,140.0
4,23,102.0
14,23,94.0
17,23,142.0
23,36,130.0
23,26,144.0
3,25,230.0
3,17,162.0
3,27,84.0
3,30,206.0
3,37,128.0
3,22,152.0
3,8,140.0
3,13,210.0
3,24,188.0
1,3,210.0
3,38,180.0
3,35,204.0
3,15,104.0
3,20,98.0
3,4,108.0
3,28,106.0
3,9,146.0
3,23,108.0
3,12,118.0
3,19,196.0
3,10,166.0
3,11,136.0
2,3,160.0
3,34,100.0
0,3,132.0
3,31,108.0
3,33,214.0
3,36,144.0
3,32,999.4545454545454
3,18,96.0
3,29,1089.090909090909
3,21,150.0
3,16,120.0
3,26,134.0
3,14,106.0
16,32,162.0
16,34,126.0
1,16,214.0
7,16,122.0
16,20,106.0
12,16,116.0
16,19,186.0
16,35,224.0
10,16,224.0
11,16,1055.090909090909
16,21,142.0
16,30,186.0
0,16,140.0
4,16,126.0
14,16,162.0
16,17,1002.3636363636363
16,36,162.0
16,26,170.0
6,10,170.0
6,15,76.0
6,23,88.0
6,7,947.4545454545453
6,11,98.0
2,6,126.0
6,14,112.0
6,26,112.0
6,12,114.0
6,16,114.0
6,8,98.0
6,19,120.0
6,25,206.0
6,34,106.0
6,13,122.0
6,21,118.0
6,32,108.0
5,6,100.0
6,18,80.0
6,36,132.0
6,33,154.0
6,9,92.0
6,24,150.0
28,32,132.0
9,28,134.0
2,28,962.6060606060604
28,29,190.0
28,35,146.0
21,28,96.0
5,28,96.0
22,28,1006.7272727272726
13,28,170.0
18,28,108.0
19,28,144.0
28,30,168.0
28,33,168.0
23,28,112.0
28,36,134.0
16,28,124.0
7,28,100.0
15,27,108.0
27,36,146.0
11,27,112.0
27,29,208.0
4,27,1001.0909090909089
0,27,102.0
10,27,182.0
19,27,156.0
27,31,88.0
6,27,106.0
5,27,94.0
27,33,188.0
27,35,188.0
26,27,128.0
10,34,1062.181818181818
10,35,332.0
10,29,348.0
10,33,368.0
10,15,174.0
10,17,274.0
10,24,304.0
7,10,248.0
10,25,404.0
5,10,178.0
4,10,194.0
0,10,218.0
1,10,320.0
10,14,216.0
2,10,250.0
10,19,290.0
10,12,226.0
8,10,248.0
13,33,296.0
5,13,214.0
13,20,150.0
13,14,184.0
4,13,232.0
13,29,344.0
12,13,194.0
8,13,212.0
10,13,260.0
7,13,156.0
13,22,226.0
13,25,378.0
13,21,230.0
13,23,164.0
13,35,320.0
0,13,1025.4545454545455
9,13,180.0
2,13,268.0
13,15,158.0
13,16,168.0
13,34,184.0
9,23,114.0
23,25,204.0
23,27,64.0
23,38,104.0
23,31,78.0
23,24,148.0
23,29,206.0
22,23,102.0
8,23,126.0
23,33,156.0
2,23,124.0
5,23,104.0
18,23,92.0
3,6,98.0
3,7,104.0
3,5,140.0
0,1,238.0
1,35,1062.8563916865983
1,4,202.0
1,24,296.0
1,19,312.0
1,13,326.0
1,36,244.0
1,8,232.0
1,22,242.0
1,32,240.0
1,38,268.0
1,21,252.0
1,33,280.0
1,17,266.0
1,9,162.0
1,30,324.0
1,29,328.0
13,24,302.0
13,32,186.0
13,19,268.0
13,30,240.0
11,13,200.0
22,35,236.0
24,35,322.0
33,35,338.0
26,35,316.0
19,35,294.0
5,35,228.0
9,35,188.0
35,38,250.0
17,35,276.0
31,35,230.0
0,35,240.0
12,35,208.0
32,35,234.0
29,35,372.0
2,35,234.0
4,35,224.0
6,35,192.0
20,35,172.0
25,35,547.895662324975
8,35,222.0
29,38,304.0
22,29,268.0
29,31,180.0
24,29,334.0
26,29,252.0
15,29,182.0
29,32,220.0
4,29,244.0
16,29,234.0
8,29,218.0
19,29,330.0
29,33,374.0
29,30,296.0
14,29,210.0
20,29,144.0
11,29,238.0
21,29,222.0
16,25,278.0
16,27,112.0
21,22,158.0
4,21,148.0
5,21,164.0
21,26,150.0
20,21,110.0
21,35,220.0
21,38,1103.090909090909
21,24,198.0
21,36,170.0
21,33,234.0
15,21,120.0
2,21,192.0
21,27,114.0
8,21,146.0
21,32,134.0
21,30,198.0
21,37,128.0
21,31,100.0
22,32,180.0
2,22,180.0
9,22,160.0
0,22,162.0
15,22,992.3636363636361
8,22,170.0
22,27,138.0
22,26,182.0
22,36,184.0
19,22,216.0
22,34,140.0
16,22,172.0
22,30,222.0
22,33,270.0
11,22,142.0
22,25,270.0
36,38,168.0
25,36,1079.268065268065
35,36,248.0
9,36,122.0
10,36,250.0
31,36,98.0
13,36,282.0
5,36,124.0
4,36,176.0
32,36,162.0
24,36,236.0
26,36,160.0
14,24,196.0
2,24,206.0
7,24,180.0
24,32,162.0
5,24,144.0
19,24,250.0
24,33,316.0
20,24,152.0
24,25,376.0
24,37,156.0
24,28,168.0
24,30,236.0
22,24,220.0
16,24,182.0
4,24,242.0
0,24,184.0
24,38,1040.181818181818
9,24,170.0
18,24,154.0
12,24,208.0
24,26,974.5454545454544
11,24,178.0
15,24,140.0
24,31,174.0
8,24,188.0
1,12,242.0
12,29,190.0
7,12,112.0
12,36,182.0
12,30,172.0
12,34,116.0
12,38,140.0
12,26,152.0
11,12,134.0
12,18,102.0
12,20,124.0
12,17,158.0
12,22,156.0
12,31,72.0
12,25,228.0
8,12,138.0
14,36,170.0
7,36,146.0
29,36,260.0
0,36,150.0
1,34,194.0
1,15,212.0
1,14,196.0
1,26,264.0
1,37,176.0
1,20,216.0
1,25,396.0
1,11,250.0
1,6,138.0
1,31,116.0
1,27,168.0
1,7,170.0
6,22,108.0
6,29,980.6060606060604
6,30,116.0
0,6,104.0
6,28,90.0
14,32,140.0
7,14,148.0
14,25,300.0
14,35,256.0
14,21,126.0
14,27,108.0
0,14,144.0
0,37,104.0
0,2,152.0
0,4,124.0
0,15,136.0
0,32,166.0
0,21,132.0
0,18,1006.0
0,17,178.0
0,38,156.0
0,19,192.0
0,12,124.0
0,25,288.0
0,30,182.0
0,11,138.0
0,9,114.0
0,34,138.0
0,26,160.0
0,20,116.0
0,33,230.0
0,28,118.0
23,37,72.0
6,37,78.0
6,17,100.0
6,31,76.0
25,29,456.0
7,29,240.0
9,29,186.0
29,37,176.0
5,29,238.0
0,29,264.0
18,29,188.0
16,18,118.0
16,33,202.0
16,31,124.0
9,16,134.0
8,16,118.0
5,16,102.0
2,16,158.0
16,37,102.0
14,26,156.0
2,26,150.0
7,26,130.0
26,32,170.0
5,26,140.0
19,26,230.0
26,33,1087.4545454545453
20,26,124.0
10,26,274.0
25,26,294.0
26,37,124.0
26,28,142.0
26,30,186.0
4,26,146.0
26,38,194.0
13,26,192.0
9,26,150.0
18,26,114.0
11,26,148.0
15,26,148.0
26,31,148.0
11,15,152.0
11,21,136.0
11,28,126.0
11,18,142.0
9,11,94.0
11,36,158.0
11,31,112.0
11,17,158.0
11,14,146.0
11,35,230.0
11,33,212.0
11,38,164.0
5,11,110.0
4,11,134.0
