rm_id_a,rm_id_b,avg_eligibility_score_shared,n_shared_sub_industry,total_approved_credit_shared,n_customers_shared,n_shared_industry,jaccard,n_shared_region,shared_segments,score_gap
RM0136,RM0230,0.767,2,825000000.0,2,2,0.05555555555555555,4,1,0.016933333333333356
RM0136,RM0182,0.7083333333333334,4,1725000000.0,6,3,0.17647058823529413,4,3,0.05243333333333322
RM0136,RM0100,0.6815,3,750000000.0,4,3,0.07407407407407407,4,2,0.04459999999999997
RM0136,RM0057,0.7044999999999999,3,1050000000.0,2,3,0.041666666666666664,4,1,0.008224999999999927
RM0136,RM0257,0.7384999999999999,4,1500000000.0,2,3,0.043478260869565216,4,1,0.01386470588235289
RM0136,RM0211,0.7043333333333334,3,400000000.0,3,3,0.04,4,1,0.013163157894736877
RM0136,RM0208,0.554,3,75000000.0,2,3,0.05555555555555555,4,1,0.0524
RM0136,RM0069,0.669,1,400000000.0,2,1,0.08333333333333333,2,1,0.04135
RM0136,RM0085,0.6767142857142857,3,2200000000.0,7,3,0.16666666666666666,4,3,0.06976666666666664
RM0136,RM0169,0.6998333333333333,3,2250000000.0,6,2,0.09523809523809523,4,2,0.07910000000000006
RM0136,RM0061,0.7929999999999999,3,950000000.0,2,2,0.06666666666666667,4,1,0.055849999999999955
RM0136,RM0212,0.8185,1,825000000.0,2,1,0.05263157894736842,4,1,0.011081818181818193
RM0136,RM0131,0.76,4,850000000.0,2,3,0.06666666666666667,4,1,0.11309999999999998
RM0136,RM0205,0.652,2,750000000.0,2,2,0.07692307692307693,3,1,0.09109999999999996
RM0136,RM0120,0.7030000000000001,3,1200000000.0,2,3,0.058823529411764705,4,1,0.04698888888888886
RM0136,RM0132,0.6756666666666667,2,1100000000.0,3,3,0.05555555555555555,3,1,0.020009090909090865
RM0136,RM0060,0.665875,6,1875000000.0,8,3,0.19047619047619047,4,4,0.011099999999999999
RM0136,RM0034,0.6964999999999999,3,950000000.0,2,3,0.05555555555555555,3,1,0.0020000000000000018
RM0136,RM0193,0.7949999999999999,3,400000000.0,2,2,0.05263157894736842,4,1,0.03317142857142852
